fpr,tpr,ppv,acc,npv,LR+,LR-,threshold,expected_fp,expected_tn,expected_flags,tpr_upper,ppv_upper,acc_upper,npv_upper,LR+_upper,LR-_upper,threshold_upper,expected_fp_upper,expected_tn_upper,expected_flags_upper,fpr_lower,tpr_lower,ppv_lower,acc_lower,npv_lower,LR+_lower,LR-_lower,threshold_lower,expected_fp_lower,expected_tn_lower,expected_flags_lower,AUC,AUC_upper,AUC_lower,n_pos,n_neg,n_total,prevalence_in_data,prevalence_preset,prevalence
0.0,0.0,0.7026793431287813,0.768396244418152,0.768396244418152,7.704050465983435,0.9865650635599538,2.0,0.0,80531.0,0.0,0.00015823552776460454,0.79616282250999,0.7684328923606488,0.7684244055915812,9.9377099972707,0.988372612392162,2.0,0.0,80531.0,0.0,0.0,0.0,0.6474316077640212,0.7683595924240905,0.7683877553675371,5.971781575234894,0.9846519634979669,2.0,0.0,80531.0,0.0,0.763753205610521,0.7674962387101248,0.7600101725109171,24273,80531,104804,0.231603755581848,0,0.231603755581848
0.001,0.007684711407736992,0.6942142359228565,0.7694076561963284,0.7695889179628446,7.704050465983435,0.9865650635599538,0.24596431753950546,80.531,80450.469,267.062,0.008863847168493297,0.7436529975561617,0.7698311876728134,0.769834405272731,9.9377099972707,0.988372612392162,0.24596431753950546,80.531,80450.469,267.062,0.001,0.0066613791860146475,0.6474316077640212,0.7689836307145431,0.7693628638205879,5.971781575234894,0.9846519634979669,0.24596431753950546,80.531,80450.469,267.062,0.763753205610521,0.7674962387101248,0.7600101725109171,24273,80531,104804,0.231603755581848,0,0.231603755581848
0.002,0.015408066576030981,0.6942142359228565,0.7704280180145796,0.7707946349263878,7.704050465983435,0.9865650635599538,0.22689685036246748,161.06199999999998,80369.938,535.062,0.017036009223431223,0.7337707185309125,0.7710245990534399,0.7711373778421757,9.9377099972707,0.988372612392162,0.22689685036246748,161.06199999999998,80369.938,535.062,0.002,0.013933483249302363,0.6474316077640212,0.7698304501842552,0.7704710819280063,5.971781575234894,0.9846519634979669,0.22689685036246748,161.06199999999998,80369.938,535.062,0.763753205610521,0.7674962387101248,0.7600101725109171,24273,80531,104804,0.231603755581848,0,0.231603755581848
0.003,0.020747044040703662,0.6757953421834011,0.7708961490019465,0.7715771871330337,6.915696236166741,0.9821995545357247,0.21694036035348718,241.59300000000002,80289.407,745.186,0.02261747040300757,0.7084268508875976,0.7716019365619267,0.7719766024834258,8.55024823419383,0.9843205331540565,0.21694036035348718,241.59300000000002,80289.407,745.186,0.003,0.019028287367237686,0.6413808036093827,0.770189056629412,0.7711967864871014,5.593003579967471,0.9799748063058135,0.21694036035348718,241.59300000000002,80289.407,745.186,0.763753205610521,0.7674962387101248,0.7600101725109171,24273,80531,104804,0.231603755581848,0,0.231603755581848
0.004,0.026129773822766038,0.6631853785900783,0.7713744131903364,0.7723708046960223,6.532443348123297,0.9777813514880422,0.21002509736502384,322.12399999999997,80208.876,956.372,0.02821280129543378,0.692429194900665,0.7721741299751864,0.7728198186489308,7.865098761218269,0.9801750931563007,0.21002509736502384,322.12399999999997,80208.876,956.372,0.004,0.024196712560760465,0.6326502117571786,0.7705730703649768,0.7719406274907016,5.4249921933865135,0.9752856342982187,0.21002509736502384,322.12399999999997,80208.876,956.372,0.763753205610521,0.7674962387101248,0.7600101725109171,24273,80531,104804,0.231603755581848,0,0.231603755581848
0.005,0.0311996868949038,0.6538296961916987,0.7717802278538988,0.7731110141421024,6.239936827313675,0.9736686561877628,0.20382025214379285,402.655,80128.345,1159.965,0.03346210221165608,0.6805625850052142,0.7726608239891982,0.773602545764566,7.377168611372699,0.9762950426133616,0.20382025214379285,402.655,80128.345,1159.965,0.005,0.029085633308072314,0.6261457937812125,0.7708977073783126,0.7726381493257658,5.277432297173129,0.9709419939442719,0.20382025214379285,402.655,80128.345,1159.965,0.763753205610521,0.7674962387101248,0.7600101725109171,24273,80531,104804,0.231603755581848,0,0.231603755581848
0.006,0.03598121369422815,0.6438053097345132,0.7721192511736193,0.7738017727475762,5.996868535464149,0.9698378130510098,0.19914724001976927,483.18600000000004,80047.814,1356.558,0.03839857417567757,0.6688544795235735,0.7730712507053371,0.7743306341935338,6.9946863702697595,0.9726675160453612,0.19914724001976927,483.18600000000004,80047.814,1356.558,0.006,0.033710701727866305,0.6194892804524614,0.7711650501393646,0.7732914156839201,5.140824783980325,0.9669094468862315,0.19914724001976927,483.18600000000004,80047.814,1356.558,0.763753205610521,0.7674962387101248,0.7600101725109171,24273,80531,104804,0.231603755581848,0,0.231603755581848
0.007,0.041739834383883324,0.6429581015003293,0.7726845731078967,0.7746731064513264,5.96283093349346,0.9650152722385839,0.1945648681731889,563.717,79967.283,1576.868,0.04432915088833333,0.6660428912902825,0.7737090187662927,0.7752420416900971,6.875692083486747,0.9680615361581041,0.1945648681731889,563.717,79967.283,1576.868,0.007,0.039295543957752845,0.6194892804524614,0.7716575771677521,0.7741224812863142,5.170595507962382,0.9618722556870055,0.1945648681731889,563.717,79967.283,1576.868,0.763753205610521,0.7674962387101248,0.7600101725109171,24273,80531,104804,0.231603755581848,0,0.231603755581848
0.008,0.047666131092160016,0.6429581015003293,0.7732887294378078,0.7755788117155712,5.958269061643619,0.9600139807819253,0.1902416611009176,644.248,79886.752,1801.248,0.050418765464304176,0.6651664028504948,0.7743813225410868,0.7761859322614728,6.8062098530254875,0.9632651672511359,0.1902416611009176,644.248,79886.752,1801.248,0.008,0.04505664729696073,0.6194892804524614,0.7721932249836061,0.7749897996854791,5.215391043219845,0.9566680044599256,0.1902416611009176,644.248,79886.752,1801.248,0.763753205610521,0.7674962387101248,0.7600101725109171,24273,80531,104804,0.231603755581848,0,0.231603755581848
0.009,0.051982820417748106,0.6353521833695834,0.7735200946528759,0.7761934108597044,5.775869741540033,0.9566268209071694,0.18656894716461772,724.7789999999999,79806.221,1986.5579999999995,0.05484709202175281,0.6562083841059755,0.7746669842126989,0.7768286884327124,6.552232754303785,0.9600289945334092,0.18656894716461772,724.7789999999999,79806.221,1986.5579999999995,0.009,0.04926033328346102,0.6139748161709071,0.7723700506505541,0.7755760896461343,5.090933856485237,0.9531313318083089,0.18656894716461772,724.7789999999999,79806.221,1986.5579999999995,0.763753205610521,0.7674962387101248,0.7600101725109171,24273,80531,104804,0.231603755581848,0,0.231603755581848
