fpr,tpr,ppv,acc,npv,LR+,LR-,threshold,expected_fp,expected_tn,expected_flags,tpr_upper,ppv_upper,acc_upper,npv_upper,LR+_upper,LR-_upper,threshold_upper,expected_fp_upper,expected_tn_upper,expected_flags_upper,fpr_lower,tpr_lower,ppv_lower,acc_lower,npv_lower,LR+_lower,LR-_lower,threshold_lower,expected_fp_lower,expected_tn_lower,expected_flags_lower,AUC,AUC_upper,AUC_lower,n_pos,n_neg,n_total,prevalence_in_data,prevalence_preset,prevalence
0.0,4.601170537784812e-05,1.0,0.9405994988323582,0.9405993364758438,18.55339203288008,0.9648228617565773,0.25667629485738247,0.0,1720660.0,4.999999999999999,0.00010771571714146447,1.0,0.9406031642502328,0.9406027841875256,19.772608962792955,0.9659983787748992,0.25667629485738247,0.0,1720660.0,4.999999999999999,0.0,1.9653605351695857e-05,0.6459381850819828,0.9405958331517047,0.9405977389843041,17.408777813492907,0.9636168623555169,0.25667629485738247,0.0,1720660.0,4.999999999999999,0.7749647107661706,0.776626991404158,0.7733024301281831,108668,1720660,1829328,0.05940323441176213,0,0.05940323441176213
0.001,0.021671513232966465,0.5778755320502709,0.9409435268032852,0.9417543549074386,18.55339203288008,0.9648228617565773,0.20083974251883252,1720.6599999999999,1718939.34,4075.66,0.022554305048378537,0.5929421257699149,0.9410393527795824,0.9418063845496933,19.772608962792955,0.9659983787748992,0.20083974251883252,1720.6599999999999,1718939.34,4075.66,0.001,0.020822538442461926,0.5626631999135154,0.9408476139432352,0.9417040997061302,17.408777813492907,0.9636168623555169,0.20083974251883252,1720.6599999999999,1718939.34,4075.66,0.7749647107661706,0.776626991404158,0.7733024301281831,108668,1720660,1829328,0.05940323441176213,0,0.05940323441176213
0.002,0.03710678396584091,0.539405293479639,0.9409198350432508,0.9425663860420826,18.55339203288008,0.9648228617565773,0.1856467221379839,3441.3199999999997,1717218.68,7473.64,0.03824710807162888,0.5506832174173034,0.941049325966348,0.9426340580056697,19.772608962792955,0.9659983787748992,0.1856467221379839,3441.3199999999997,1717218.68,7473.64,0.002,0.0359991856371062,0.5280868781540161,0.9407901966125976,0.9425004338797873,17.408777813492907,0.9636168623555169,0.1856467221379839,3441.3199999999997,1717218.68,7473.64,0.7749647107661706,0.776626991404158,0.7733024301281831,108668,1720660,1829328,0.05940323441176213,0,0.05940323441176213
0.003,0.049941105017116356,0.5128677855281195,0.9407416384595875,0.9432348463057659,16.647035017952774,0.9529176479266699,0.17646959919437152,5161.98,1715498.02,10588.98,0.0512521839429992,0.5223672315949055,0.9408953462257039,0.9433130647997747,17.555810416610676,0.9542800418156189,0.17646959919437152,5161.98,1715498.02,10588.98,0.003,0.04866184450322976,0.5033586945554904,0.9405877334853442,0.9431583018522621,15.78477956241432,0.9515256866536034,0.17646959919437152,5161.98,1715498.02,10588.98,0.7749647107661706,0.776626991404158,0.7733024301281831,108668,1720660,1829328,0.05940323441176213,0,0.05940323441176213
0.004,0.0620388706887032,0.49489795918367346,0.940519688104047,0.9438639912023892,15.509717670598016,0.9417280414760374,0.1694320091899447,6882.639999999999,1713777.36,13624.279999999999,0.06348864974532319,0.5032912527297407,0.94069348230965,0.9439508465764722,16.250846119421485,0.9432429252206517,0.1694320091899447,6882.639999999999,1713777.36,13624.279999999999,0.004,0.06062005475225729,0.48650727296330354,0.940345650083065,0.9437787664914699,14.801898571280546,0.940184453859903,0.1694320091899447,6882.639999999999,1713777.36,13624.279999999999,0.7749647107661706,0.776626991404158,0.7733024301281831,108668,1720660,1829328,0.05940323441176213,0,0.05940323441176213
0.005,0.07245003128795965,0.47783584796570444,0.9401975479520349,0.9443997542656101,14.49000629870099,0.9322110238312631,0.16374109198259318,8603.3,1712056.7,16476.3,0.07400648465901313,0.4854676045163211,0.9403881011606289,0.9444933686534517,15.116599021045655,0.9338448740762091,0.16374109198259318,8603.3,1712056.7,16476.3,0.005,0.070923804985419,0.47021442511580264,0.9400067114040611,0.9443077329855147,13.888926275925735,0.9305492144282408,0.16374109198259318,8603.3,1712056.7,16476.3,0.7749647107661706,0.776626991404158,0.7733024301281831,108668,1720660,1829328,0.05940323441176213,0,0.05940323441176213
0.006,0.08246217837817942,0.4646626179637019,0.939851705107012,0.9449145695452628,13.743696401315239,0.9230762792976184,0.15898610901576957,10323.96,1710336.04,19284.960000000003,0.08411242332191897,0.4717081268018966,0.9400572382294269,0.9450141703339341,14.290962396361195,0.9248151778377605,0.15898610901576957,10323.96,1710336.04,19284.960000000003,0.006,0.08084145266087996,0.4576311843492109,0.9396458507969573,0.9448165255770836,13.216949995900624,0.9213101385929082,0.15898610901576957,10323.96,1710336.04,19284.960000000003,0.7749647107661706,0.776626991404158,0.7733024301281831,108668,1720660,1829328,0.05940323441176213,0,0.05940323441176213
0.007,0.09213383884860309,0.45392656309448526,0.9394856362554993,0.9454116293259692,13.161976999747496,0.9142660233146729,0.15457963291957963,12044.619999999999,1708615.38,22056.620000000003,0.09386784828107349,0.460504218735524,0.939704784240725,0.9455166166689281,13.650481588953742,0.9160991631911829,0.15457963291957963,12044.619999999999,1708615.38,22056.620000000003,0.007,0.09042866487233521,0.44736495193125597,0.9392661306643185,0.945308163586824,12.690534055898802,0.9124063347199176,0.15457963291957963,12044.619999999999,1708615.38,22056.620000000003,0.7749647107661706,0.776626991404158,0.7733024301281831,108668,1720660,1829328,0.05940323441176213,0,0.05940323441176213
0.008,0.10064195531343173,0.4427487096447728,0.9390504491266739,0.9458439414402682,12.580244393871022,0.9066109321415895,0.15083387395047673,13765.279999999999,1706894.72,24701.84,0.10244486059277143,0.4489512877383601,0.9392817186479556,0.9459534411666913,13.020466610963476,0.9085228314698044,0.15083387395047673,13765.279999999999,1706894.72,24701.84,0.008,0.09886728398067436,0.43656393495512213,0.9388187904676688,0.9457359321759233,12.15450356779434,0.9046730954482308,0.15083387395047673,13765.279999999999,1706894.72,24701.84,0.7749647107661706,0.776626991404158,0.7733024301281831,108668,1720660,1829328,0.05940323441176213,0,0.05940323441176213
0.009,0.10823793573084993,0.4316653589840217,0.9385610781664088,0.946225474577416,12.026437306256334,0.8998608115733272,0.14749952094495883,15485.939999999999,1705174.06,27247.94,0.1100989931678308,0.43755567561082437,0.9388033316606123,0.9463388509731319,12.426548455686875,0.9018402381271754,0.14749952094495883,15485.939999999999,1705174.06,27247.94,0.009,0.1064045752173259,0.4257943075832944,0.9383184078334196,0.9461135607093081,11.638823520271801,0.8978559946063043,0.14749952094495883,15485.939999999999,1705174.06,27247.94,0.7749647107661706,0.776626991404158,0.7733024301281831,108668,1720660,1829328,0.05940323441176213,0,0.05940323441176213
0.01,0.11578385541281702,0.4223628550325656,0.9380687334365406,0.9466052257594321,11.578385550667564,0.8931476207952083,0.1444351712456456,17206.6,1703453.4,29788.6,0.11769984603393595,0.4279818621170437,0.9383213609949926,0.9467222795948625,11.946285671580586,0.895190950469045,0.1444351712456456,17206.6,1703453.4,29788.6,0.01,0.11389502823123983,0.4167638708743665,0.9378156615484814,0.946489606601969,11.221443723511666,0.8910794445673464,0.1444351712456456,17206.6,1703453.4,29788.6,0.7749647107661706,0.776626991404158,0.7733024301281831,108668,1720660,1829328,0.05940323441176213,0,0.05940323441176213
0.011,0.12365185703242905,0.41518027403302415,0.9375955214155144,0.9470044954830276,11.24107791807608,0.8860951900582701,0.14154462057754838,18927.26,1701732.74,32364.260000000002,0.12562237441772575,0.42055835596368574,0.9378581411286132,0.9471251933970954,11.58317824483975,0.8882016668898622,0.14154462057754838,18927.26,1701732.74,32364.260000000002,0.011,0.12170794683210405,0.4098223816153399,0.9373324285293363,0.9468852031125385,10.90871999059532,0.8839644340400968,0.14154462057754838,18927.26,1701732.74,32364.260000000002,0.7749647107661706,0.776626991404158,0.7733024301281831,108668,1720660,1829328,0.05940323441176213,0,0.05940323441176213
0.012,0.13109655096256487,0.4082422982004362,0.9370971635485819,0.9473806248708773,10.924712582099787,0.879456932224147,0.1388628839339619,20647.92,1700012.08,34893.92,0.13311628072283685,0.4134109613895924,0.9373691493133192,0.9475046504681148,11.24445555138415,0.881620946682987,0.1388628839339619,20647.92,1700012.08,34893.92,0.012,0.129102902059841,0.40309382974797864,0.9368246775450624,0.9472579771338843,10.61371019702786,0.8772691763079582,0.1388628839339619,20647.92,1700012.08,34893.92,0.7749647107661706,0.776626991404158,0.7733024301281831,108668,1720660,1829328,0.05940323441176213,0,0.05940323441176213
0.013,0.13867007766775868,0.40251150173965383,0.936606458765186,0.9477652210451534,10.666929056559347,0.8726746933458096,0.13650819160108937,22368.579999999998,1698291.42,37437.579999999994,0.14073767194403644,0.40748883785934464,0.9368874577816185,0.9478924896962017,10.967853989542405,0.8748946321677457,0.13650819160108937,22368.579999999998,1698291.42,37437.579999999994,0.013,0.13662802881334354,0.39755416978838215,0.9363249319032082,0.947639301991971,10.373917037638343,0.8704315605786128,0.13650819160108937,22368.579999999998,1698291.42,37437.579999999994,0.7749647107661706,0.776626991404158,0.7733024301281831,108668,1720660,1829328,0.05940323441176213,0,0.05940323441176213
0.014,0.1452957632421688,0.3959328493875453,0.9360594491529131,0.9480963354902989,10.378268806274136,0.8668399967118513,0.13430266787039633,24089.239999999998,1696570.76,39878.24,0.1474035320030037,0.40074243014795385,0.9363487624401007,0.948226392765429,10.66169048919588,0.8691079583545461,0.13430266787039633,24089.239999999998,1696570.76,39878.24,0.014,0.14321307147829543,0.39114331507442934,0.9357695843940745,0.9479676029676171,10.10204681670358,0.8645493214152876,0.13430266787039633,24089.239999999998,1696570.76,39878.24,0.7749647107661706,0.776626991404158,0.7733024301281831,108668,1720660,1829328,0.05940323441176213,0,0.05940323441176213
0.015,0.15174660433614312,0.3898348332607799,0.9355020532129832,0.9484182705353079,10.116440290443027,0.8611709600648564,0.13229953369590683,25809.899999999998,1694850.1,42299.9,0.15389205354914628,0.3944924444721488,0.9357993156510298,0.9485509653391461,10.384457923534772,0.8634842515340002,0.13229953369590683,25809.899999999998,1694850.1,42299.9,0.015,0.14962577605641306,0.3851972300211149,0.9352042164114762,0.9482868762068994,9.855013681302347,0.858835423217699,0.13229953369590683,25809.899999999998,1694850.1,42299.9,0.7749647107661706,0.776626991404158,0.7733024301281831,108668,1720660,1829328,0.05940323441176213,0,0.05940323441176213
