fpr,tpr,ppv,acc,npv,LR+,LR-,threshold,expected_fp,expected_tn,expected_flags,tpr_upper,ppv_upper,acc_upper,npv_upper,LR+_upper,LR-_upper,threshold_upper,expected_fp_upper,expected_tn_upper,expected_flags_upper,fpr_lower,tpr_lower,ppv_lower,acc_lower,npv_lower,LR+_lower,LR-_lower,threshold_lower,expected_fp_lower,expected_tn_lower,expected_flags_lower,AUC,AUC_upper,AUC_lower,n_pos,n_neg,n_total,prevalence_in_data,prevalence_preset,prevalence
0.0,0.0001347490971810489,1.0,0.8426983918358002,0.842695057111603,10.113008117860543,0.9817374737339387,0.25667629485738247,0.0,198753.0,5.0,0.0003154281120910954,1.0,0.8427268167656408,0.842719011848209,11.97411536473237,0.9833269411971887,0.25667629485738247,0.0,198753.0,5.0,0.0,5.755808985895706e-05,0.6439435087019375,0.8426699611458842,0.8426822611861768,8.540449165741911,0.9800680565374078,0.25667629485738247,0.0,198753.0,5.0,0.7326174040586428,0.7356790795797618,0.7295557285375239,37106,198753,235859,0.15732280727044548,0,0.15732280727044548
0.001,0.011649301999676601,0.6838669367001335,0.8436672164301554,0.8440927829026695,10.113008117860543,0.9817374737339387,0.23234206441585775,198.75300000000001,198554.247,631.0120000000001,0.012792736978430442,0.7185224812069092,0.8439563523848577,0.8442621228987506,11.97411536473237,0.9833269411971887,0.23234206441585775,198.75300000000001,198554.247,631.0120000000001,0.001,0.010606971149783411,0.6439435087019375,0.843377732250452,0.8439343822098503,8.540449165741911,0.9800680565374078,0.23234206441585775,198.75300000000001,198554.247,631.0120000000001,0.7326174040586428,0.7356790795797618,0.7295557285375239,37106,198753,235859,0.15732280727044548,0,0.15732280727044548
0.002,0.020226001185792056,0.6537441541600558,0.8441738496304996,0.8451052747537756,10.113008117860543,0.9817374737339387,0.22386773168683097,397.506,198355.494,1148.012,0.021708784987113615,0.6807121032281938,0.8445647247491043,0.8453279291945363,11.97411536473237,0.9833269411971887,0.22386773168683097,397.506,198355.494,1148.012,0.002,0.018842545863775886,0.625750722684789,0.8437823795102889,0.8448933923865428,8.540449165741911,0.9800680565374078,0.22386773168683097,397.506,198355.494,1148.012,0.7326174040586428,0.7356790795797618,0.7295557285375239,37106,198753,235859,0.15732280727044548,0,0.15732280727044548
0.003,0.02754969546704037,0.6314933695452879,0.8444833565816865,0.8459542915435676,9.183233886498366,0.9753764338130503,0.218474215359828,596.259,198156.741,1618.518,0.029264631670868197,0.654668237851417,0.8449478302003498,0.8462143215826764,10.568742427240801,0.9772436964015228,0.218474215359828,596.259,198156.741,1618.518,0.003,0.02593257150483592,0.6076637687273657,0.8440180819962164,0.8457048885954404,7.978686721475534,0.973430778948189,0.218474215359828,596.259,198156.741,1618.518,0.7326174040586428,0.7356790795797618,0.7295557285375239,37106,198753,235859,0.15732280727044548,0,0.15732280727044548
0.004,0.03465746779496577,0.6179685669852251,0.8447588940850254,0.846777704323438,8.664367111069962,0.9692194098447051,0.2138502279272517,795.0120000000001,197957.988,2081.012,0.03656724563185716,0.638608914448852,0.8452852411058114,0.8470693270258876,9.798477994981639,0.9713202538828267,0.2138502279272517,795.0120000000001,197957.988,2081.012,0.004,0.03284403066472853,0.5968934921809217,0.8442315471649882,0.8464965667605749,7.66087725243254,0.9670416874751356,0.2138502279272517,795.0120000000001,197957.988,2081.012,0.7326174040586428,0.7356790795797618,0.7295557285375239,37106,198753,235859,0.15732280727044548,0,0.15732280727044548
0.005,0.040843259850159006,0.6039465816224836,0.8448893830636099,0.8474801157497281,8.168651506668624,0.9639766232213589,0.2103237080224751,993.765,197759.235,2509.2950000000005,0.042905114437642035,0.6229125749826943,0.8454671254504308,0.8477970563198758,9.130043967543989,0.9662638667479949,0.2103237080224751,993.765,197759.235,2509.2950000000005,0.005,0.038876465313605425,0.5846627123420104,0.8443104718747523,0.8471735350909824,7.307878251613323,0.9616138286466188,0.2103237080224751,993.765,197759.235,2509.2950000000005,0.7326174040586428,0.7356790795797618,0.7295557285375239,37106,198753,235859,0.15732280727044548,0,0.15732280727044548
0.006,0.047364792755888535,0.5957044863819059,0.8450726917353164,0.848230478589451,7.894132571548564,0.9583855203381755,0.20691592734496392,1192.518,197560.482,2950.036,0.04957335411814208,0.6133360007574568,0.8456983157428248,0.8485717111853696,8.74324926704387,0.960850686627766,0.20691592734496392,1192.518,197560.482,2950.036,0.006,0.04524994127980381,0.5777176607811687,0.8444457190876286,0.8478994733204495,7.126879341251428,0.9558461991340382,0.20691592734496392,1192.518,197560.482,2950.036,0.7326174040586428,0.7356790795797618,0.7295557285375239,37106,198753,235859,0.15732280727044548,0,0.15732280727044548
0.007,0.05258136150487792,0.5836946148602591,0.8450506997824971,0.8488068844008209,7.5116216524913195,0.954097319629426,0.20395716508229572,1391.271,197361.729,3342.355,0.05489900874009389,0.6003192126982516,0.845716260812638,0.8491670018737489,8.264344892103901,0.9567004535800757,0.20395716508229572,1391.271,197361.729,3342.355,0.007,0.050356344160161326,0.5668752614546129,0.8443836527777941,0.8484568863395594,6.82688225790792,0.9514211616875463,0.20395716508229572,1391.271,197361.729,3342.355,0.7326174040586428,0.7356790795797618,0.7295557285375239,37106,198753,235859,0.15732280727044548,0,0.15732280727044548
0.008,0.058454805152805475,0.5769809332385997,0.8451320492328044,0.8494744367725724,7.306850662161535,0.9491383012545969,0.2010314832256192,1590.0240000000001,197162.976,3759.048,0.06088784974684164,0.5926930739197485,0.8458369335363383,0.8498541537670927,7.992888529987849,0.951883854306213,0.2010314832256192,1590.0240000000001,197162.976,3759.048,0.008,0.05611317445960007,0.5611121790978323,0.8444255202253679,0.8491047176995141,6.679133768031348,0.946320989731635,0.2010314832256192,1590.0240000000001,197162.976,3759.048,0.7326174040586428,0.7356790795797618,0.7295557285375239,37106,198753,235859,0.15732280727044548,0,0.15732280727044548
0.009,0.06362852368889128,0.5690195133702722,0.845103315964199,0.8500491281690927,7.069836348395849,0.9448753545058435,0.198768086540691,1788.7769999999998,196964.223,4149.777,0.06615754517467516,0.5840127535614196,0.8458431530181516,0.8504456154947306,7.697936134470324,0.9477424250612051,0.198768086540691,1788.7769999999998,196964.223,4149.777,0.009,0.061189844979625825,0.5538977076799755,0.844361698267628,0.8496625304200942,6.492438633222753,0.9419376487874432,0.198768086540691,1788.7769999999998,196964.223,4149.777,0.7326174040586428,0.7356790795797618,0.7295557285375239,37106,198753,235859,0.15732280727044548,0,0.15732280727044548
0.01,0.06826389263191937,0.5603814166905651,0.8449898880263209,0.85055230978159,6.826389693669509,0.9411475832061367,0.1965965194838798,1987.53,196765.47,4520.530000000001,0.07087490764133915,0.5747533487425324,0.845761375048498,0.8509635026337004,7.404444486330951,0.9441209701031184,0.1965965194838798,1987.53,196765.47,4520.530000000001,0.01,0.0657422607301963,0.5459099877187724,0.8442165019573,0.8501509083451508,6.29293299618816,0.9381045748363218,0.1965965194838798,1987.53,196765.47,4520.530000000001,0.7326174040586428,0.7356790795797618,0.7295557285375239,37106,198753,235859,0.15732280727044548,0,0.15732280727044548
