fpr,tpr,ppv,acc,npv,LR+,LR-,threshold,expected_fp,expected_tn,expected_flags,tpr_upper,ppv_upper,acc_upper,npv_upper,LR+_upper,LR-_upper,threshold_upper,expected_fp_upper,expected_tn_upper,expected_flags_upper,fpr_lower,tpr_lower,ppv_lower,acc_lower,npv_lower,LR+_lower,LR-_lower,threshold_lower,expected_fp_lower,expected_tn_lower,expected_flags_lower,AUC,AUC_upper,AUC_lower,n_pos,n_neg,n_total,prevalence_in_data,prevalence_preset,prevalence
0.0,0.0005953562214725144,1.0,0.9874396894341002,0.9874395954532134,21.46387639067847,0.9589902169597523,0.15007499447579006,0.0,791813.0,6.0,0.0012984014884785348,1.0,0.9874485251614009,0.9874483203425778,24.717841960201596,0.9628813567937379,0.15007499447579006,0.0,791813.0,6.0,0.0,0.00027288475772942287,0.7301796936242461,0.9874308462027936,0.9874355333991683,18.631265941361022,0.9547555087228792,0.15007499447579006,0.0,791813.0,6.0,0.8157235223940025,0.8208082698388084,0.8106387749491966,10078,791813,801891,0.01256779287958089,0,0.01256779287958089
0.001,0.027981742409208175,0.26279515594182795,0.9867964436563075,0.9877674953047652,21.46387639067847,0.9589902169597523,0.06230700277589015,791.8130000000001,791021.187,1073.8129999999999,0.03138584990059754,0.28992288201394256,0.986905619442964,0.98781062298507,24.717841960201596,0.9628813567937379,0.06230700277589015,791.8130000000001,791021.187,1073.8129999999999,0.001,0.024937338788695373,0.2373572606021738,0.9866870076576107,0.9877287781401031,18.631265941361022,0.9547555087228792,0.06230700277589015,791.8130000000001,791021.187,1073.8129999999999,0.8157235223940025,0.8208082698388084,0.8106387749491966,10078,791813,801891,0.01256779287958089,0,0.01256779287958089
0.002,0.042927763445128005,0.21453373015873015,0.9859968499459404,0.9879413945451511,21.46387639067847,0.9589902169597523,0.05497850340346253,1583.6260000000002,790229.374,2016.2520000000002,0.04706232820116507,0.23298685297656538,0.986143623926444,0.987994003625694,24.717841960201596,0.9628813567937379,0.05497850340346253,1583.6260000000002,790229.374,2016.2520000000002,0.002,0.039141512869983346,0.19716644218777546,0.9858496821910855,0.9878930586594171,18.631265941361022,0.9547555087228792,0.05497850340346253,1583.6260000000002,790229.374,2016.2520000000002,0.8157235223940025,0.8208082698388084,0.8106387749491966,10078,791813,801891,0.01256779287958089,0,0.01256779287958089
0.003,0.05318515578487795,0.18410140675195638,0.9851383305212305,0.9880572664611584,17.728386035350773,0.9496638357226642,0.0514419319789715,2375.439,789437.561,2911.439,0.057739032464914644,0.19859254184664188,0.9853121520353414,0.9881154151968123,20.034872571215,0.9540074891977827,0.0514419319789715,2375.439,789437.561,2911.439,0.003,0.048971776588666596,0.1704427894676588,0.9849640265750922,0.9880032970837906,15.681529255043943,0.9449843431872877,0.0514419319789715,2375.439,789437.561,2911.439,0.8157235223940025,0.8208082698388084,0.8106387749491966,10078,791813,801891,0.01256779287958089,0,0.01256779287958089
0.004,0.06568763643580075,0.1730930199693448,0.9843080269014118,0.9882014142093642,16.42190941747674,0.9380646220526931,0.0489094843529608,3167.252,788645.748,3829.252,0.07069172641090377,0.18539524428602688,0.9845058403005482,0.9882654556619437,18.297992750057862,0.9428904199324216,0.0489094843529608,3167.252,788645.748,3829.252,0.004,0.061014516366694534,0.16144516672886006,0.9841096209105767,0.9881414371129313,14.732635720534526,0.9329124499523617,0.0489094843529608,3167.252,788645.748,3829.252,0.8157235223940025,0.8208082698388084,0.8106387749491966,10078,791813,801891,0.01256779287958089,0,0.01256779287958089
0.005,0.0771978567176027,0.16425500828861228,0.9834652527587915,0.9883334954622022,15.439571403372655,0.9274393399823996,0.046931606121880506,3959.065,787853.935,4737.0650000000005,0.08257141433293283,0.17506736371224244,0.9836838385720968,0.9884024049061308,17.035482171873046,0.9326639757205193,0.046931606121880506,3959.065,787853.935,4737.0650000000005,0.005,0.07214649758741132,0.15398599511335703,0.98324597369734,0.988268544404206,13.987904146007757,0.9218970440490686,0.046931606121880506,3959.065,787853.935,4737.0650000000005,0.8157235223940025,0.8208082698388084,0.8106387749491966,10078,791813,801891,0.01256779287958089,0,0.01256779287958089
0.006,0.08771581663028379,0.1568800607542179,0.9826100080933694,0.9884534639722349,14.619302841104838,0.9177909289435351,0.045299821786654766,4750.878,787062.122,5634.878,0.09339696161994394,0.16660932051897348,0.9828470200281809,0.9885264573062221,16.013800396453792,0.9233505388854147,0.045299821786654766,4750.878,787062.122,5634.878,0.006,0.08234885486187486,0.14761831178839693,0.9823722117571889,0.988384332130153,13.341218950232628,0.9119216202831476,0.045299821786654766,4750.878,787062.122,5634.878,0.8157235223940025,0.8208082698388084,0.8106387749491966,10078,791813,801891,0.01256779287958089,0,0.01256779287958089
0.007,0.09575312562016274,0.1482860825545635,0.9817235871209429,0.9885426310850545,13.679018040815535,0.9106212229407348,0.04406779565074243,5542.691,786270.309,6507.691000000001,0.10165300432610325,0.15712791205591659,0.981976717993919,0.9886185891293432,14.907887961552028,0.9164241590584594,0.04406779565074243,5542.691,786270.309,6507.691000000001,0.007,0.09016130526401223,0.13985923817169357,0.9814696044514353,0.9884704607677924,12.54672333999603,0.9045146454486019,0.04406779565074243,5542.691,786270.309,6507.691000000001,0.8157235223940025,0.8208082698388084,0.8106387749491966,10078,791813,801891,0.01256779287958089,0,0.01256779287958089
0.008,0.10498114705298671,0.14316939069823345,0.9808521307758784,0.9886469262743531,13.12264346337731,0.902236746922758,0.04293818117705265,6334.504,785478.496,7392.504,0.11111697864885918,0.15133638570846633,0.9811206530073242,0.9887260581890298,14.234533291501094,0.9083004673730742,0.04293818117705265,6334.504,785478.496,7392.504,0.008,0.09914634154707842,0.13537278453341847,0.9805826779488701,0.9885714969526274,12.093054875305473,0.8958763715546276,0.04293818117705265,6334.504,785478.496,7392.504,0.8157235223940025,0.8208082698388084,0.8106387749491966,10078,791813,801891,0.01256779287958089,0,0.01256779287958089
0.009,0.11490375074419527,0.13978219371048362,0.9799894037967753,0.9887601752970582,12.767083470449286,0.8931344593906317,0.04187787481561857,7126.316999999999,784686.683,8284.317,0.12127722867897536,0.14741635031146905,0.9802725660000557,0.9888424982629938,13.79035135138585,0.8994606644332335,0.04187787481561857,7126.316999999999,784686.683,8284.317,0.009,0.10882373732967415,0.13248195009605251,0.9797052255466437,0.9886814630432956,11.815297506974382,0.8865191342640826,0.04187787481561857,7126.316999999999,784686.683,8284.317,0.8157235223940025,0.8208082698388084,0.8106387749491966,10078,791813,801891,0.01256779287958089,0,0.01256779287958089
