fpr,tpr,ppv,acc,npv,LR+,LR-,threshold,expected_fp,expected_tn,expected_flags,tpr_upper,ppv_upper,acc_upper,npv_upper,LR+_upper,LR-_upper,threshold_upper,expected_fp_upper,expected_tn_upper,expected_flags_upper,fpr_lower,tpr_lower,ppv_lower,acc_lower,npv_lower,LR+_lower,LR-_lower,threshold_lower,expected_fp_lower,expected_tn_lower,expected_flags_lower,AUC,AUC_upper,AUC_lower,n_pos,n_neg,n_total,prevalence_in_data,prevalence_preset,prevalence
0.0,0.0031899810964083177,1.0,0.9828398720261642,0.982838929614593,82.05342369264783,0.8375683313705967,0.30117405935370506,0.0,483199.0,27.000000000000004,0.004637376173819937,1.0,0.9828647889955825,0.9828634209373521,91.66981856634963,0.8454316574800234,0.30117405935370506,0.0,483199.0,27.000000000000004,0.0,0.0021933443943412,0.875444970258133,0.9828149017491096,0.9828219320489092,73.41307762741638,0.8294083044700625,0.30117405935370506,0.0,483199.0,27.000000000000004,0.8991644694493162,0.9035858711444392,0.8947430677541931,8464,483199,491663,0.01721504363761357,0.01721504363761357,0.01721504363761357
0.001,0.10278768903591685,0.6430248362782651,0.9835716659581868,0.9845118231422273,82.05342369264783,0.8375683313705967,0.17585246767615811,483.199,482715.801,1353.1940000000002,0.10943853695090382,0.6681444824066934,0.9837699325307252,0.9846261601416445,91.66981856634963,0.8454316574800234,0.17585246767615811,483.199,482715.801,1353.1940000000002,0.001,0.09649723396556721,0.6169477377119797,0.9833718060577235,0.984403495323807,73.41307762741638,0.8294083044700625,0.17585246767615811,483.199,482715.801,1353.1940000000002,0.8991644694493162,0.9035858711444392,0.8947430677541931,8464,483199,491663,0.01721504363761357,0.01721504363761357,0.01721504363761357
0.002,0.16410680529300567,0.5897092805467542,0.9836444922640101,0.9855407928037728,82.05342369264783,0.8375683313705967,0.14418258076216697,966.398,482232.602,2355.398,0.17214926454113708,0.6094122115593882,0.9839029141566848,0.9856796446348596,91.66981856634963,0.8454316574800234,0.14418258076216697,966.398,482232.602,2355.398,0.002,0.15636910372884674,0.5697142091002564,0.9833835349079572,0.9854070266700157,73.41307762741638,0.8294083044700625,0.14418258076216697,966.398,482232.602,2355.398,0.8991644694493162,0.9035858711444392,0.8947430677541931,8464,483199,491663,0.01721504363761357,0.01721504363761357,0.01721504363761357
0.003,0.20021231096408318,0.5389607040552934,0.9832832651633334,0.9861430042899059,66.73743809290023,0.8021942717931211,0.12522227120098578,1449.597,481749.403,3144.194,0.20887243434612446,0.5563263153645261,0.9835800641239593,0.9862930293283579,73.2963423288623,0.8107362842172668,0.12522227120098578,1449.597,481749.403,3144.194,0.003,0.19182418654848044,0.5215000074325038,0.982983382422843,0.9859975168351607,60.7383721813189,0.7933884831585075,0.12522227120098578,1449.597,481749.403,3144.194,0.8991644694493162,0.9035858711444392,0.8947430677541931,8464,483199,491663,0.01721504363761357,0.01721504363761357,0.01721504363761357
0.004,0.2301271266540643,0.5019326948887166,0.9828154650644852,0.986641166445363,57.53178168278067,0.7729647322355536,0.11282896664416059,1932.796,481266.204,3880.5919999999996,0.2392154912354895,0.5176543484891407,0.9831429939840189,0.9867990622175435,62.52477828324571,0.7819866138754133,0.11282896664416059,1932.796,481266.204,3880.5919999999996,0.004,0.22128361916752495,0.4862063150041916,0.9824844007428493,0.9864873518644932,52.91391267801658,0.7637063967565446,0.11282896664416059,1932.796,481266.204,3880.5919999999996,0.8991644694493162,0.9035858711444392,0.8947430677541931,8464,483199,491663,0.01721504363761357,0.01721504363761357,0.01721504363761357
0.005,0.2561436672967864,0.4730531089212523,0.982280555990587,0.9870739655469237,51.228733503038285,0.7475943042243515,0.10158818979849808,2415.995,480783.005,4583.995,0.26555206379432117,0.48751708735116417,0.9826341439302709,0.9872378378331511,55.26553141580955,0.7569819398104927,0.10158818979849808,2415.995,480783.005,4583.995,0.005,0.2469565229482911,0.45863289529698203,0.9819230419148935,0.9869137757838925,47.46563301308863,0.7379940132711866,0.10158818979849808,2415.995,480783.005,4583.995,0.8991644694493162,0.9035858711444392,0.8947430677541931,8464,483199,491663,0.01721504363761357,0.01721504363761357,0.01721504363761357
0.006,0.28109569943289225,0.45075757575757575,0.9817273213562947,0.9874897234631816,46.849283048371504,0.7232437631077782,0.0931391019008877,2899.194,480299.806,5278.388,0.29077020318633784,0.4642095381081185,0.9821040419466297,0.987658622139393,50.252838085843614,0.7329403332281613,0.0931391019008877,2899.194,480299.806,5278.388,0.006,0.2716198087168755,0.4373772138759344,0.9813463005229216,0.9873241235505172,43.656779301397144,0.7133573859687597,0.0931391019008877,2899.194,480299.806,5278.388,0.8991644694493162,0.9035858711444392,0.8947430677541931,8464,483199,491663,0.01721504363761357,0.01721504363761357,0.01721504363761357
0.007,0.2987948960302457,0.4277615602656852,0.9810492288417065,0.9877818211726348,42.68498603715904,0.706148140957181,0.08655369539335996,3382.393,479816.607,5911.393,0.30863584260502913,0.44041901554574775,0.981445849866369,0.9879539998619696,45.596757248988276,0.7160469797278745,0.08655369539335996,3382.393,479816.607,5911.393,0.007,0.28913650391758156,0.4151979648768964,0.9806480467511964,0.9876126674501652,39.941348082217786,0.6960757629396874,0.08655369539335996,3382.393,479816.607,5911.393,0.8991644694493162,0.9035858711444392,0.8947430677541931,8464,483199,491663,0.01721504363761357,0.01721504363761357,0.01721504363761357
0.008,0.31828922495274103,0.4106870616932615,0.9804020396084309,0.9881056288105774,39.78615376222811,0.6872084425886851,0.08067103832312106,3865.592,479333.408,6559.592,0.32829339687023873,0.4226414420369779,0.9808173031588482,0.9882810210135945,42.34567839966712,0.6973064289956935,0.08067103832312106,3865.592,479333.408,6559.592,0.008,0.30844992018893647,0.39883723197621257,0.979981926130645,0.9879329594592303,37.36467487777076,0.6769548318370685,0.08067103832312106,3865.592,479333.408,6559.592,0.8991644694493162,0.9035858711444392,0.8947430677541931,8464,483199,491663,0.01721504363761357,0.01721504363761357,0.01721504363761357
0.009,0.3342144376181474,0.3940639587542674,0.9796934078830418,0.9883686716050277,37.134937338678185,0.6718320507987319,0.07575286892051859,4348.790999999999,478850.209,7177.581999999999,0.34433704655135505,0.40542321728990083,0.9801255586221155,0.9885464864431722,39.4086841027364,0.6820807878998961,0.07575286892051859,4348.790999999999,478850.209,7177.581999999999,0.009,0.32424224680839,0.38281805110848827,0.9792561741021788,0.9881933316581084,34.97678169420603,0.6614423676555891,0.07575286892051859,4348.790999999999,478850.209,7177.581999999999,0.8991644694493162,0.9035858711444392,0.8947430677541931,8464,483199,491663,0.01721504363761357,0.01721504363761357,0.01721504363761357
